Kd_Prov,Provinsi,Kondisi_Baik,Baik_%,Kondisi_Sedang,Sedang_%,Kondisi_RR,RR_%,Kondisi_RB,RB_%,Total_Panjang
11,Aceh,983.54,46.79,1090.25,51.87,25.09,1.19,3.19,0.15,2102.07
12,Sumatera Utara,1080.93,41.07,1328.31,50.46,182.18,6.92,40.80,1.55,2632.22
13,Sumatera Barat,515.88,35.59,821.43,56.67,78.41,5.41,33.08,2.28,1449.62
14,Riau,385.90,28.87,836.52,62.58,86.95,6.51,27.24,2.04,1336.61
15,Jambi,529.05,40.14,616.97,46.81,129.38,9.82,42.54,3.23,1317.93
16,Sumatera Selatan,807.22,50.45,705.08,44.06,78.45,4.90,9.42,0.59,1600.16
17,Bengkulu,391.37,49.38,300.81,37.95,84.36,10.64,16.08,2.03,792.61
18,Lampung,400.21,30.97,825.65,63.89,52.33,4.05,14.02,1.09,1292.21
19,Kepulauan Bangka Belitung,475.65,79.22,123.83,20.62,0.82,0.14,0.10,0.02,600.40
21,Kepulauan Riau,400.30,68.22,175.65,29.93,6.27,1.07,4.60,0.78,586.83
31,DKI Jakarta,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,Jawa Barat,544.25,30.42,1199.94,67.07,42.79,2.39,2.22,0.12,1789.20
33,Jawa Tengah,673.01,44.33,750.01,49.41,88.33,5.82,6.74,0.44,1518.09
34,D.I. Yogyakarta,171.32,69.11,71.55,28.86,4.94,1.99,0.10,0.04,247.91
35,Jawa Timur,1359.20,57.56,939.58,39.79,58.13,2.46,4.32,0.18,2361.23
36,Banten,177.72,31.46,352.13,62.34,33.33,5.90,1.71,0.30,564.89
51,Bali,343.42,54.56,278.01,44.17,7.25,1.15,0.72,0.11,629.39
52,Nusa Tenggara Barat,138.87,14.86,768.79,82.26,26.48,2.83,0.42,0.04,934.55
53,Nusa Tenggara Timur,538.01,28.96,1208.37,65.04,109.34,5.88,2.20,0.12,1857.91
61,Kalimantan Barat,1519.58,71.76,527.28,24.90,46.07,2.18,24.65,1.16,2117.57
62,Kalimantan Tengah,483.30,24.14,1202.22,60.05,139.95,6.99,176.61,8.82,2002.08
63,Kalimantan Selatan,440.38,36.57,709.93,58.95,47.25,3.92,6.74,0.56,1204.30
64,Kalimantan Timur,438.73,25.64,995.67,58.20,179.79,10.51,96.71,5.65,1710.90
65,Kalimantan Utara,109.78,18.76,424.05,72.47,37.34,6.38,13.99,2.39,585.16
71,Sulawesi Utara,292.60,17.58,1224.73,73.60,138.51,8.32,8.08,0.49,1663.92
72,Sulawesi Tengah,805.46,33.94,1520.93,64.08,38.48,1.62,8.53,0.36,2373.40
73,Sulawesi Selatan,184.03,10.54,1466.00,83.97,72.68,4.16,23.21,1.33,1745.92
74,Sulawesi Tenggara,533.82,35.64,846.31,56.50,109.96,7.34,7.72,0.52,1497.81
75,Gorontalo,354.77,47.39,340.60,45.50,40.08,5.35,13.14,1.76,748.60
76,Sulawesi Barat,182.69,23.94,518.40,67.93,29.20,3.83,32.88,4.31,763.17
81,Maluku,700.13,39.52,942.23,53.18,79.38,4.48,49.93,2.82,1771.67
82,Maluku Utara,319.56,26.56,742.82,61.73,100.32,8.34,40.64,3.38,1203.34
91,Papua Barat,460.02,34.68,568.72,42.88,147.44,11.12,150.19,11.32,1326.38
94,Papua,943.54,35.78,1194.05,45.29,255.66,9.70,243.48,9.23,2636.73
xxx,Indonesia,17684.25,37.65,25616.80,54.54,2556.95,5.44,1105.96,2.35,46964.77
